Id,LotArea,1stFlrSF,2ndFlrSF,GrLivArea,BedroomAbvGr,KitchenAbvGr,SalePrice
1,8450,856,854,1710,3,1,208500
2,9600,1262,0,1262,3,1,181500
3,11250,920,866,1786,3,1,223500
4,9550,961,756,1717,3,1,140000
5,14260,1145,1053,2198,4,1,250000
6,14115,796,566,1362,1,1,143000
7,10084,1694,0,1694,3,1,307000
8,10382,1107,983,2090,3,1,200000
9,6120,1022,752,1774,2,2,129900
10,7420,1077,0,1077,2,2,118000
11,11200,1040,0,1040,3,1,129500
12,11924,1182,1142,2324,4,1,345000
13,12968,912,0,912,2,1,144000
14,10652,1494,0,1494,3,1,279500
15,10920,1253,0,1253,2,1,157000
16,6120,854,0,854,2,1,132000
17,11241,1004,0,1004,2,1,149000
18,10791,1296,0,1296,2,2,90000
19,13695,1114,0,1114,3,1,159000
20,7560,1339,0,1339,3,1,139000
21,14215,1158,1218,2376,4,1,325300
22,7449,1108,0,1108,3,1,139400
23,9742,1795,0,1795,3,1,230000
24,4224,1060,0,1060,3,1,129900
25,8246,1060,0,1060,3,1,154000
26,14230,1600,0,1600,3,1,256300
27,7200,900,0,900,3,1,134800
28,11478,1704,0,1704,3,1,306000
29,16321,1600,0,1600,2,1,207500
30,6324,520,0,520,1,1,68500
31,8500,649,668,1317,3,1,40000
32,8544,1228,0,1228,3,1,149350
33,11049,1234,0,1234,3,1,179900
34,10552,1700,0,1700,4,1,165500
35,7313,1561,0,1561,2,1,277500
36,13418,1132,1320,2452,4,1,309000
37,10859,1097,0,1097,3,1,145000
38,8532,1297,0,1297,3,1,153000
39,7922,1057,0,1057,3,1,109000
40,6040,1152,0,1152,2,2,82000
41,8658,1324,0,1324,3,1,160000
42,16905,1328,0,1328,2,1,170000
43,9180,884,0,884,2,1,144000
44,9200,938,0,938,3,1,130250
45,7945,1150,0,1150,3,1,141000
46,7658,1752,0,1752,2,1,319900
47,12822,1518,631,2149,1,1,239686
48,11096,1656,0,1656,3,1,249700
49,4456,736,716,1452,2,3,113000
50,7742,955,0,955,3,1,127000
51,13869,794,676,1470,3,1,177000
52,6240,816,0,1176,3,1,114500
53,8472,816,0,816,2,1,110000
54,50271,1842,0,1842,0,1,385000
55,7134,1360,0,1360,3,1,130000
56,10175,1425,0,1425,3,1,180500
57,2645,983,756,1739,3,1,172500
58,11645,860,860,1720,3,1,196500
59,13682,1426,1519,2945,3,1,438780
60,7200,780,0,780,2,1,124900
61,13072,1158,0,1158,3,1,158000
62,7200,581,530,1111,3,1,101000
63,6442,1370,0,1370,2,1,202500
64,10300,902,808,1710,3,1,140000
65,9375,1057,977,2034,3,1,219500
66,9591,1143,1330,2473,4,1,317000
67,19900,2207,0,2207,3,1,180000
68,10665,1479,0,1479,3,1,226000
69,4608,747,0,747,2,1,80000
70,15593,1304,983,2287,3,1,225000
71,13651,2223,0,2223,3,1,244000
72,7599,845,0,845,2,1,129500
73,10141,885,833,1718,3,1,185000
74,10200,1086,0,1086,3,1,144900
75,5790,840,765,1605,3,2,107400
76,1596,526,462,988,2,1,91000
77,8475,952,0,952,2,1,135750
78,8635,1072,213,1285,2,1,127000
79,10778,1768,0,1768,4,2,136500
80,10440,682,548,1230,2,1,110000
81,13000,1182,960,2142,4,1,193500
82,4500,1337,0,1337,2,1,153500
83,10206,1563,0,1563,3,1,245000
84,8892,1065,0,1065,3,1,126500
85,8530,804,670,1474,3,1,168500
86,16059,1301,1116,2417,4,1,260000
87,11911,684,876,1560,3,1,174000
88,3951,612,612,1224,2,1,164500
89,8470,1013,0,1526,2,1,85000
90,8070,990,0,990,3,1,123600
91,7200,1040,0,1040,2,1,109900
92,8500,1235,0,1235,2,1,98600
93,13360,964,0,964,2,1,163500
94,7200,1260,1031,2291,4,2,133900
95,9337,905,881,1786,3,1,204750
96,9765,680,790,1470,3,1,185000
97,10264,1588,0,1588,3,1,214000
98,10921,960,0,960,3,1,94750
99,10625,835,0,835,2,1,83000
100,9320,1225,0,1225,3,1,128950
101,10603,1610,0,1610,3,1,205000
102,9206,977,755,1732,3,1,178000
103,7018,1535,0,1535,4,2,118964
104,10402,1226,0,1226,3,1,198900
105,7758,1226,592,1818,4,1,169500
106,9375,1053,939,1992,3,1,250000
107,10800,1047,0,1047,2,1,100000
108,6000,789,0,789,2,1,115000
109,8500,997,520,1517,3,1,115000
110,11751,1844,0,1844,3,1,190000
111,9525,1216,639,1855,4,1,136900
112,7750,774,656,1430,3,1,180000
113,9965,1282,1414,2696,4,1,383970
114,21000,2259,0,2259,3,1,217000
115,7259,1436,884,2320,3,1,259500
116,3230,729,729,1458,2,1,176000
117,11616,1092,0,1092,3,1,139000
118,8536,1125,0,1125,2,1,155000
119,12376,1699,1523,3222,5,1,320000
120,8461,728,728,1456,3,1,163990
121,21453,988,0,988,1,1,180000
122,6060,772,351,1123,3,1,100000
123,9464,1080,0,1080,3,1,136000
124,7892,1199,0,1199,2,1,153900
125,17043,1586,0,1586,3,1,181000
126,6780,520,0,754,2,1,84500
127,4928,958,0,958,2,1,128000
128,4388,840,0,840,3,1,87000
129,7590,660,688,1348,3,1,155000
130,8973,1053,0,1053,3,1,150000
131,14200,1216,941,2157,4,1,226000
132,12224,1022,1032,2054,3,1,244000
133,7388,1327,0,1327,3,1,150750
134,6853,1296,0,1296,2,1,220000
135,10335,1721,0,1721,3,1,180000
136,10400,1682,0,1682,3,1,174000
137,10355,1214,0,1214,3,1,143000
138,11070,1959,0,1959,5,2,171000
139,9066,1004,848,1852,3,1,230000
140,15426,928,836,1764,3,1,231500
141,10500,864,0,864,3,1,115000
142,11645,1734,0,1734,3,1,260000
143,8520,910,475,1385,4,1,166000
144,10335,1501,0,1501,3,1,204000
145,9100,1728,0,1728,6,2,125000
146,2522,970,739,1709,3,1,130000
147,6120,875,0,875,2,1,105000
148,9505,884,1151,2035,3,1,222500
149,7500,1080,0,1080,3,1,141000
150,6240,896,448,1344,3,1,115000
151,10356,969,0,969,3,1,122000
152,13891,1710,0,1710,2,1,372402
153,14803,1097,896,1993,4,1,190000
154,13500,1252,0,1252,1,1,235000
155,11340,1200,0,1200,4,1,125000
156,9600,572,524,1096,2,1,79000
157,7200,1040,0,1040,2,1,109500
158,12003,774,1194,1968,4,1,269500
159,12552,991,956,1947,3,1,254900
160,19378,1392,1070,2462,4,1,320000
161,11120,1232,0,1232,3,1,162500
162,13688,1572,1096,2668,3,1,412500
163,12182,1541,0,1541,3,1,220000
164,5500,882,0,882,1,1,103200
165,5400,1149,467,1616,3,1,152000
166,10106,808,547,1355,4,2,127500
167,10708,1867,0,1867,2,1,190000
168,10562,1610,551,2161,3,1,325624
169,8244,840,880,1720,3,1,183500
170,16669,1707,0,1707,2,1,228000
171,12358,854,0,1382,2,1,128500
172,31770,1656,0,1656,3,1,215000
173,5306,1064,703,1767,2,1,239000
174,10197,1362,0,1362,3,1,163000
175,12416,1651,0,1651,3,1,184000
176,12615,2158,0,2158,4,1,243000
177,10029,1164,896,2060,4,1,211000
178,13650,1252,668,1920,4,1,172500
179,17423,2234,0,2234,1,1,501837
180,8520,968,0,968,2,1,100000
181,2117,769,756,1525,3,1,177000
182,7588,901,901,1802,4,1,200100
183,9060,1340,0,1340,3,1,120000
184,11426,1362,720,2082,3,1,200000
185,7438,936,316,1252,3,1,127000
186,22950,1518,1518,3608,4,1,475000
187,9947,1217,0,1217,3,1,173000
188,10410,808,704,1656,3,1,135000
189,7018,1224,0,1224,2,2,153337
190,4923,1593,0,1593,0,1,286000
191,10570,1549,1178,2727,3,1,315000
192,7472,725,754,1479,4,1,184000
193,9017,1431,0,1431,3,1,192000
194,2522,970,739,1709,3,1,130000
195,7180,864,0,864,3,1,127000
196,2280,855,601,1456,3,1,148500
197,9416,1726,0,1726,3,1,311872
198,25419,1360,1360,3112,4,1,235000
199,5520,929,929,2229,5,1,104000
200,9591,1713,0,1713,3,1,274900
201,8546,1121,0,1121,2,1,140000
202,10125,1279,0,1279,3,1,171500
203,7000,865,445,1310,2,1,112000
204,4438,848,0,848,1,1,149000
205,3500,720,564,1284,2,1,110000
206,11851,1442,0,1442,3,1,180500
207,13673,1696,0,1696,3,1,143900
208,12493,1100,0,1100,3,1,141000
209,14364,1180,882,2062,3,1,277000
210,8250,1092,0,1092,3,1,145000
211,5604,864,0,864,2,1,98000
212,10420,1212,0,1212,3,1,186000
213,8640,932,920,1852,3,1,252678
214,13568,990,0,990,3,1,156000
215,10900,689,703,1392,3,1,161750
216,10011,1236,0,1236,2,1,134450
217,8450,1436,0,1436,3,1,210000
218,9906,810,518,1328,3,1,107000
219,15660,1137,817,1954,3,1,311500
220,3010,1248,0,1248,2,1,167240
221,8990,1498,0,1498,2,1,204900
222,8068,1010,1257,2267,4,1,200000
223,11475,811,741,1552,3,1,179900
224,10500,864,0,864,2,1,97000
225,13472,2392,0,2392,3,1,386250
226,1680,630,672,1302,3,1,112000
227,9950,1214,1306,2520,4,1,290000
228,1869,483,504,987,2,1,106000
229,8521,912,0,912,3,1,125000
230,3182,1555,0,1555,2,1,192500
231,8760,1194,0,1194,3,1,148000
232,15138,1490,1304,2794,4,1,403000
233,1680,483,504,987,2,1,94500
234,10650,894,0,894,3,1,128200
235,7851,860,1100,1960,4,1,216500
236,1680,483,504,987,2,1,89500
237,8773,1414,0,1414,3,1,185500
238,9453,1014,730,1744,3,1,194500
239,12030,1694,0,1694,3,1,318000
240,8741,798,689,1487,3,1,113000
241,9000,1566,0,1566,3,1,262500
242,3880,866,0,866,2,1,110500
243,5000,889,551,1440,3,1,79000
244,10762,626,591,1217,3,1,120000
245,8880,1222,888,2110,3,1,205000
246,10400,1872,0,1872,3,1,241500
247,9142,908,1020,1928,4,2,137000
248,11310,1375,0,1375,2,1,140000
249,11317,840,828,1668,3,1,180000
251,5350,1306,0,1306,3,1,76500
252,4750,1625,0,1625,2,1,235000
253,8366,798,842,1640,3,1,173000
254,9350,1302,0,1302,3,1,158000
255,8400,1314,0,1314,3,1,145000
256,8738,1005,1286,2291,4,1,230000
257,8791,864,864,1728,3,1,207500
258,8814,1604,0,1604,3,1,220000
259,12435,963,829,1792,3,1,231500
260,12702,882,0,882,2,1,97000
261,19296,1382,0,1382,3,1,176000
262,9588,1482,1092,2574,3,1,276000
263,8471,1212,0,1212,3,1,151000
264,5500,926,0,1316,3,1,130000
265,5232,764,0,764,2,1,73000
266,12090,1422,0,1422,3,1,175500
267,11207,802,709,1511,3,1,185000
268,8400,1052,720,2192,4,1,179500
269,6900,778,0,778,2,1,120500
270,7917,1113,0,1113,3,1,148000
271,10728,1095,844,1939,3,1,266000
272,39104,1363,0,1363,2,1,241500
273,11764,1164,1106,2270,4,1,290000
274,9600,1632,0,1632,3,1,139000
275,8314,816,0,816,2,1,124500
276,7264,952,596,1548,3,1,205000
277,9196,1560,0,1560,3,1,201000
278,19138,864,0,864,2,1,141000
279,14450,2121,0,2121,3,1,415298
280,10005,1156,866,2022,4,1,192000
281,11287,1175,807,1982,3,1,228500
282,7200,1262,0,1262,2,1,185000
283,5063,1314,0,1314,2,1,207500
284,9612,1468,0,1468,3,1,244600
285,8012,1575,0,1575,2,1,179200
286,4251,625,625,1250,2,1,164700
287,9786,1085,649,1734,3,1,159000
288,8125,858,0,858,3,1,88000
289,9819,900,0,900,3,1,122000
290,8730,698,698,1396,3,1,153575
291,15611,1079,840,1919,3,1,233230
292,5687,936,780,1716,6,1,135900
293,11409,1148,568,1716,3,1,131000
294,16659,1468,795,2263,3,1,235000
295,9600,1644,0,1644,3,1,167000
296,7937,1003,0,1003,3,1,142500
297,13710,910,648,1558,4,1,152000
298,7399,975,975,1950,3,1,239000
299,11700,1041,702,1743,3,1,175000
300,14000,1152,0,1152,3,1,158500
301,15750,1336,0,1336,2,1,157000
302,16226,1210,1242,2452,4,1,267000
303,13704,1541,0,1541,3,1,205000
304,9800,894,0,894,3,1,149900
305,18386,1675,1818,3493,3,1,295000
306,10386,2000,0,2000,3,1,305900
307,13474,1122,1121,2243,4,1,225000
308,7920,1035,371,1406,3,1,89500
309,12342,861,0,861,1,1,82500
310,12378,1944,0,1944,3,1,360000
311,7685,697,804,1501,3,1,165600
312,8000,972,0,972,2,1,132000
313,7800,793,325,1118,3,1,119900
315,9600,832,809,1641,3,1,178000
316,7795,716,716,1432,3,1,188500
317,13005,1153,1200,2353,4,1,260000
318,9000,1088,871,1959,3,1,270000
319,9900,1372,1274,2646,4,1,260000
320,14115,1472,0,1472,3,1,187500
321,16259,1249,1347,2596,4,1,342643
322,12099,1136,1332,2468,4,1,354000
323,10380,1553,1177,2730,4,1,301000
324,5820,1163,0,1163,3,1,126175
325,11275,1898,1080,2978,5,1,242000
326,5000,803,0,803,2,1,87000
327,10846,1719,0,1719,1,1,324000
328,11600,1383,0,1383,3,1,145250
329,11888,1445,689,2134,5,1,214500
330,6402,596,596,1192,3,1,78000
331,10624,1728,0,1728,6,2,119000
332,8176,1056,0,1056,3,1,139000
333,10655,1629,0,1629,3,1,284000
334,8198,1358,0,1358,2,1,207000
335,9042,943,695,1638,3,1,192000
337,14157,1922,0,1922,3,1,377426
338,9135,1536,0,1536,3,1,214000
339,14145,1621,0,1621,3,1,202500
340,12400,1215,0,1215,3,1,155000
341,14191,993,915,1908,4,1,202900
342,8400,841,0,841,2,1,82000
343,8544,1040,0,1040,2,2,87500
344,8849,1684,0,1684,2,1,266000
345,2592,536,576,1112,3,1,85000
346,6435,972,605,1577,3,1,140200
347,12772,958,0,958,2,1,151500
348,17600,1478,0,1478,3,1,157500
349,2448,764,862,1626,2,1,154000
350,20431,1848,880,2728,4,1,437154
351,7820,1869,0,1869,2,1,318061
352,5271,1453,0,1453,2,1,190000
353,9084,616,495,1111,3,1,95000
354,8520,720,0,720,2,1,105900
355,8400,1192,403,1595,2,1,140000
356,11249,1200,0,1200,3,1,177500
357,9248,1167,0,1167,3,1,173000
358,4224,1142,0,1142,3,1,134000
359,6930,1352,0,1352,3,1,130000
360,12011,1086,838,1924,3,1,280000
361,7540,912,0,912,2,1,156000
362,9144,988,517,1505,3,1,145000
363,7301,495,1427,1922,4,1,198500
364,1680,483,504,987,2,1,118000
365,18800,790,784,1574,3,1,190000
366,10690,672,672,1344,3,1,147000
367,9500,1394,0,1394,3,1,159000
368,9150,1431,0,1431,3,1,165000
369,7800,1268,0,1268,2,1,132000
370,9830,1287,0,1287,3,1,162000
371,8121,953,711,1664,3,1,172400
372,17120,1120,468,1588,4,1,134432
373,7175,752,0,752,2,1,125000
374,10634,1319,0,1319,3,1,123000
375,8200,847,1081,1928,4,1,219500
376,10020,904,0,904,1,1,61000
377,8846,914,0,914,2,1,148000
378,11143,1580,886,2466,4,1,340000
379,11394,1856,0,1856,1,1,394432
380,8123,1007,793,1800,3,1,179000
381,5000,1026,665,1691,3,1,127000
382,7200,1301,0,1301,2,1,187750
383,9245,939,858,1797,3,1,213500
384,9000,784,0,784,2,1,76000
385,53107,1079,874,1953,3,1,240000
386,3182,1269,0,1269,2,1,192000
387,8410,658,526,1184,5,1,81000
388,7200,1125,0,1125,3,1,125000
389,9382,1479,0,1479,3,1,191000
390,12474,1742,590,2332,3,1,426000
391,8405,961,406,1367,4,1,119000
392,12209,804,1157,1961,3,1,215000
393,8339,882,0,882,3,1,106500
394,7446,788,0,788,2,1,100000
395,10134,735,299,1034,2,1,109000
396,9571,1144,0,1144,3,1,129000
397,7200,894,0,894,2,1,123000
398,7590,876,936,1812,4,1,169500
399,8967,1077,0,1077,2,1,67000
400,8125,1112,438,1550,2,1,241000
401,14963,1288,0,1288,1,1,245500
402,8767,1310,0,1310,3,1,164990
403,10200,672,0,672,2,1,108000
404,12090,1165,1098,2263,4,1,258000
405,10364,806,766,1572,3,1,168000
406,9991,1620,0,1620,3,1,150000
407,10480,1166,0,1639,3,1,115000
408,15576,840,840,1680,4,1,177000
409,14154,1071,1101,2172,3,1,280000
410,10800,1050,1028,2078,3,1,339750
411,9571,1276,0,1276,3,1,60000
412,34650,1056,0,1056,3,1,145000
413,4403,1478,0,1478,2,1,222000
414,8960,1028,0,1028,2,1,115000
415,11228,1080,1017,2097,3,1,228000
416,8899,1340,0,1340,3,1,181134
417,7844,672,728,1400,3,1,149500
418,22420,1370,1254,2624,4,1,239000
419,8160,756,378,1134,3,1,126000
420,8450,1056,0,1056,3,1,142000
421,7060,1344,0,1344,2,2,206300
422,16635,1602,0,1602,3,1,215000
423,21750,988,0,988,2,1,113000
424,9200,1470,1160,2630,4,1,315000
425,9000,1196,0,1196,2,1,139000
426,3378,707,682,1389,3,1,135000
427,12800,1644,0,1644,2,1,275000
428,8593,907,0,907,3,1,109008
429,6762,1208,0,1208,2,1,195400
430,11457,1412,0,1412,3,1,175000
431,1680,483,504,987,2,1,85400
432,5586,1088,110,1198,4,1,79900
433,1920,765,600,1365,2,1,122500
434,10839,926,678,1604,3,1,181000
435,1890,630,0,630,1,1,81000
436,10667,827,834,1661,3,1,212000
437,4400,734,384,1118,2,1,116000
438,6000,904,0,904,2,1,119000
439,4280,694,0,694,2,1,90350
440,12354,684,512,1196,3,1,110000
441,15431,2402,0,2402,2,1,555000
442,12108,1440,0,1440,4,2,118000
443,6240,1128,445,1573,3,1,162900
444,3922,1258,0,1258,2,1,172500
445,8750,933,975,1908,4,1,210000
446,9855,1689,0,1689,3,1,127500
447,16492,1888,0,1888,2,1,190000
448,11214,956,930,1886,4,1,199900
449,8600,780,596,1376,3,1,119500
450,6000,679,504,1183,2,1,120000
451,5684,813,0,813,2,1,110000
453,9303,888,868,1756,3,1,204000
454,9000,786,804,1590,3,1,210000
455,9297,1728,0,1728,4,2,188000
456,9600,1242,0,1242,3,1,175500
457,4571,624,720,1344,4,1,98000
458,53227,1663,0,1663,2,1,256000
459,5100,833,833,1666,3,1,161000
460,7015,979,224,1203,3,1,110000
461,8004,832,1103,1935,3,1,263435
462,7200,575,560,1135,3,1,155000
463,8281,864,0,864,3,1,62383
464,11988,849,811,1660,3,1,188700
465,8430,1040,0,1040,3,1,124000
466,3072,1414,0,1414,2,1,178740
467,10628,1277,0,1277,2,1,167000
468,9480,888,756,1644,3,1,146500
469,11428,1634,0,1634,3,1,250000
470,9291,832,878,1710,3,1,187000
471,6820,1502,0,1502,1,1,212000
472,11952,1161,808,1969,3,1,190000
473,3675,1072,0,1072,2,1,148000
474,14977,1976,0,1976,2,1,440000
475,5330,1652,0,1652,2,1,251000
476,8480,970,0,970,2,1,132500
477,13125,1493,0,1493,3,1,208900
478,13693,2069,574,2643,3,1,380000
479,10637,1718,0,1718,3,1,297000
480,5925,1131,0,1131,2,1,89471
481,16033,1850,0,1850,3,1,326000
482,11846,1792,0,1792,2,1,374000
483,2500,916,910,1826,4,1,155000
484,4500,1216,0,1216,2,1,164000
485,7758,999,0,999,3,1,132500
486,9600,1113,0,1113,3,1,147000
487,10289,1073,0,1073,3,1,156000
488,12243,1484,0,1484,3,1,175000
489,10800,1766,648,2414,3,2,160000
490,1526,630,0,630,1,1,86000
491,2665,616,688,1304,3,1,115000
492,9490,958,620,1578,3,1,133000
